date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:32:46	2174/2174	---M--	200	added ('OK')	application/octet-stream	etag:%225c14ffcd-87e%22	https://colorlib.com/preview/theme/capture/fonts/flaticon/font/Flaticon.eot?	C:/My%20Web%20Sites/Good%20Album/colorlib.com/preview/theme/capture/fonts/flaticon/font/Flaticond41d.eot	(from https://colorlib.com/preview/theme/capture/css/flaticon.css)
11:32:46	1436/1436	---MCZ	200	added ('OK')	application/font-woff	etag:W/%225c14ffd0-59c%22	https://colorlib.com/preview/theme/capture/fonts/flaticon/font/Flaticon.woff	C:/My%20Web%20Sites/Good%20Album/colorlib.com/preview/theme/capture/fonts/flaticon/font/Flaticon.woff	(from https://colorlib.com/preview/theme/capture/css/flaticon.css)
11:32:47	1996/1996	---MCZ	200	added ('OK')	application/x-font-ttf	etag:W/%225c14ffcf-7cc%22	https://colorlib.com/preview/theme/capture/fonts/flaticon/font/Flaticon.ttf	C:/My%20Web%20Sites/Good%20Album/colorlib.com/preview/theme/capture/fonts/flaticon/font/Flaticon.ttf	(from https://colorlib.com/preview/theme/capture/css/flaticon.css)
11:32:47	3622/3622	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225c14ffce-e26%22	https://colorlib.com/preview/theme/capture/fonts/flaticon/font/Flaticon.svg	C:/My%20Web%20Sites/Good%20Album/colorlib.com/preview/theme/capture/fonts/flaticon/font/Flaticon.svg	(from https://colorlib.com/preview/theme/capture/css/flaticon.css)
11:32:48	307168/307168	---MCZ	200	added ('OK')	application/x-font-ttf	etag:W/%225c14ff89-4afe0%22	https://colorlib.com/preview/theme/capture/fonts/icomoon/icomoon.ttf?6tt51o	C:/My%20Web%20Sites/Good%20Album/colorlib.com/preview/theme/capture/fonts/icomoon/icomoonccfb.ttf	(from https://colorlib.com/preview/theme/capture/css/icomoon.css)
11:32:48	307332/307332	---M--	200	added ('OK')	application/octet-stream	etag:%225c14ff73-4b084%22	https://colorlib.com/preview/theme/capture/fonts/icomoon/icomoon.eot?6tt51o	C:/My%20Web%20Sites/Good%20Album/colorlib.com/preview/theme/capture/fonts/icomoon/icomoonccfb.eot	(from https://colorlib.com/preview/theme/capture/css/icomoon.css)
11:32:48	307244/307244	---MCZ	200	added ('OK')	application/font-woff	etag:W/%225c14ff9a-4b02c%22	https://colorlib.com/preview/theme/capture/fonts/icomoon/icomoon.woff?6tt51o	C:/My%20Web%20Sites/Good%20Album/colorlib.com/preview/theme/capture/fonts/icomoon/icomoonccfb.woff	(from https://colorlib.com/preview/theme/capture/css/icomoon.css)
11:32:49	935341/935341	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225c14ff99-e45ad%22	https://colorlib.com/preview/theme/capture/fonts/icomoon/icomoon.svg?6tt51o	C:/My%20Web%20Sites/Good%20Album/colorlib.com/preview/theme/capture/fonts/icomoon/icomoonccfb.svg	(from https://colorlib.com/preview/theme/capture/css/icomoon.css)
11:32:49	288279/288279	---M--	200	added ('OK')	image/jpeg	etag:%225c14fede-4ca6b%22	https://colorlib.com/preview/theme/capture/images/author.jpg	C:/My%20Web%20Sites/Good%20Album/colorlib.com/preview/theme/capture/images/author.jpg	(from https://colorlib.com/preview/theme/capture/about.html)
11:32:49	31719/31719	---M--	200	added ('OK')	image/jpeg	etag:%225c14ff24-8cfa%22	https://colorlib.com/preview/theme/capture/images/person_1.jpg	C:/My%20Web%20Sites/Good%20Album/colorlib.com/preview/theme/capture/images/person_1.jpg	(from https://colorlib.com/preview/theme/capture/about.html)
11:32:49	42415/42415	---M--	200	added ('OK')	image/jpeg	etag:%225c14ff2a-bb43%22	https://colorlib.com/preview/theme/capture/images/person_2.jpg	C:/My%20Web%20Sites/Good%20Album/colorlib.com/preview/theme/capture/images/person_2.jpg	(from https://colorlib.com/preview/theme/capture/about.html)
11:32:49	31431/31431	---M--	200	added ('OK')	image/jpeg	etag:%225c14ff28-8918%22	https://colorlib.com/preview/theme/capture/images/person_3.jpg	C:/My%20Web%20Sites/Good%20Album/colorlib.com/preview/theme/capture/images/person_3.jpg	(from https://colorlib.com/preview/theme/capture/about.html)
11:32:49	22805/22805	---M--	200	added ('OK')	image/jpeg	etag:%225c14ff29-6306%22	https://colorlib.com/preview/theme/capture/images/person_4.jpg	C:/My%20Web%20Sites/Good%20Album/colorlib.com/preview/theme/capture/images/person_4.jpg	(from https://colorlib.com/preview/theme/capture/about.html)
11:32:50	19028/19028	---MCZ	200	added ('OK')	text/html	date:Sat,%2015%20Dec%202018%2013:15:16%20GMT	https://colorlib.com/preview/theme/capture/single.html	C:/My%20Web%20Sites/Good%20Album/colorlib.com/preview/theme/capture/single.html	(from https://colorlib.com/preview/theme/capture/blog.html)
11:32:51	165267/165267	---M--	200	added ('OK')	image/jpeg	etag:%225c14fef4-2e675%22	https://colorlib.com/preview/theme/capture/images/bg_1.jpg	C:/My%20Web%20Sites/Good%20Album/colorlib.com/preview/theme/capture/images/bg_1.jpg	(from https://colorlib.com/preview/theme/capture/blog.html)
